id,hover_description
8846542,Cozy Capitol Hill Townhome - Paris Bdrm
8964989,Explorers Paradise~Walk to Capitol!
8965848,Luxury Flat ~ Walk To Capitol!
8967165,Rock Creek Park Residence~ Parking!
9028780,Great Apt in Shaw/U Street Corridor - Near Metro
9094563,Comfortable 1 br Apartment in Capitol Hill East
9113304,Capitol Hill-SLP 6-Parking-Walk 2 BLK Metro/Cafes
9156290,SPECIAL PRICES Chic English Basement
9171118,"Bright, Luxurious, Apartment in the Heart of DC"
9177409,Walk to H Street From an Upscale Apartment
9329121,Charming Cap Hill 2BR - 3 blocks to Cap Vet Owned
9363284,Stay in Prime Dupont Circle Location!
9371337,No Contact Rowhouse Studio w/ Private Entrance
9410545,B&B Charm - Room 203 | Walk to Dupont Circle Metro
9473056,English basement apartment
9486921,Private entrance basement apartment
9489305,2 BR apartment Georgetown University Foxhall 20007
9644823,Lovely Studio 5 min drive to Sites/MGM+Metro+Pkg
9660463,New Private Beauty in Cap Hill - 1 blk to Subway
9704912,Elegantly Designed Antique-Filled Row House with Deck
9732220,"Free Off-Street Parking, Woodley Park/Zoo!"
9854986,Tiny Cottage in DC
9920493,Adams Morgan condo near Zoo parking options
9954831,2 BR Fully Furnished Apartment at Penn Quarters -
9973170,Suite in Georgetown East Village
10021464,2 BR Apartment Walking Distance to National Museum
10021714,2 Bedroom Apt. near Washington Monument
10021958,Washington 2BR Apt. Near WHITE HOUSE
10059402,2 BR Fully Furnished Apartment at Penn Quarters -
10059646,2 BR Fully Furnished Apartment at Penn Quarters -
10082572,Cozy 2BR Basement Apt. with Private Entrance
10097934,Exceptional Designer Victorian / Near METRO Subway
10104715,Private Basement Studio Apartment in DC Near Metro
10384001,2BR - Near Corridor / DC Streetcar / Union Station
10403348,Travelers Trove' Sleeps 6 in Shaw
10405545,Bright Sunny Capitol Hill Studio
10436526,Beautiful Columbia Heights apartment!
10453467,Lovely room in historic row house
10526371,"Historic Home Next to Capitol, Walk to Everything"
10542403,Cozy Home in Capitol Hill/H St.
10543751,Newly renovated Capitol Hill studio #302
10543985,Gorgeous 1 BD in Capitol Hill
10544363,Newly renovated 1 BD near Capitol
10617103,"National Mall, Monuments & Museums"
10626368,Close2Everything/Freeparking/HipNeighborhood
10659762,Private Eco Apartment
10685388,"Sunny private bedroom in Washington, DC"
10694497,Swank Uptown Apartment
10860997,Capitol Hill Townhome - Venice Bdrm
10875641,Family Friendly Cleveland Park by the Metro & Zoo!
10999657,Elegant home near the Cathedral
11036034,"Cleveland Park, Great View & Steps to Metro"
11087176,Studio in the heart of Adams Morgan
11126528,Entire Capitol Hill apartment in great location
11144448,Modern 1BR/1BA in trendy Petworth
11168876,Ellington Place
11176974,#3 Foggy Bottom/Georgetown Apartment
11183754,Walk to the Capitol From a Modern Studio in a Historic Area
11296745,Nice room right next to the petworth metro
11357292,Privet 1br BSMT Apt with Free Parking-NW DC
11371592,Stunning Supreme Court View 1 block to Capitol
11413391,Capitol Hill Studio 2 min H St 5 min to US Capitol
11455321,Beautiful Capitol Hill -Sonoma Room
11513680,Capitol Hill Rowhouse
11528631,Private Basement in H St/Free Parking
11529762,Comfy Room in H St/Easy to Downtown/Free parking
11530845,Cozy Room in H St/ Easy to Downtown/Free Parking
11543343,Capitol Hill 2-BR in Historic Townhome
11544564,Charming Victorian/Columbia Heights
11553508,Stunning new 1BR in Capitol Hill
11553692,Modern one bedroom apartment
11555687,Beautiful Apt in NW D.C. Near 2 Metro's
11599968,Gorgeous Apartment with Parking near the 9:30 Club
11637325,Classic Colonial 3BR Home in the Heart of Petworth
11639515,"Garden Underground - private entrance, parking"
11689750,"Clean,Cozy, and Affordable-1"
11714338,Prime Loc. Quiet 1 bdrm ensuite.
11720627,Charming  Single Family House
11721962,Two Story Carriage House & balcony!
11759609,Hill Home 1.5 Blocks from Metro
11767916,Cosy Georgetown rowhouse w/ parking
11809415,Prime Loc. Quiet 1 bdrm priv bath
11838693,Lovely private apt. in quiet neighborhood
11848786,"U Street Dupont, Adams Morgan 3"
11865642,Heart of the City: NoMa/Capitol Hill
11868093,#2 Foggy Bottom/Georgetown Apartment
11868625,#4 Foggy Bottom/Georgetown Apartment
11911646,U St Dupont Adams Morgan Townhouse4
11946738,Garden of Eden: Private Room by Park
11970099,Blazing Fast WIFI -  Gorgeous 1890s Carriage House
11970434,Gem in a Glover Park
12026532,Cozy Home away from Home
12113216,"Entire Unit on 2nd floor 2B2B, H street Corridor"
12152132,Veteran-Owned 1 block to Capitol Top Location
12173928,Basement studio w/ private Parking and kitchen
12202079,Charming Victorian in the heart of Washington DC
12219364,"Sunny, spacious, and cozy 1 bedroom"
12243205,Cozy Mother-in-law Suite in the heart of DC
12253009,"Location, Location, Location - US Capitol & more"
12289125,Furnished Executive Room #5 near convention center
12314626,"SPACIOUS 1 BR 2 Bath Condo, near metro green line"
12399984,Vet Owned 1 block to Capitol Top Floor Nice Spot
12400338,Cozy Spot Blazing WIFI.  Gorgeous East Capitol St
12423375,Modern and Very  Private Space  - Capitol Hill
12513824,Capitol Hill Luxury Boutique Condo
12532661,Woodley Park Guest House: Lovely Room + Breakfast
12535607,"Union Station, 3 BR/4 Bed, secure parking included"
12603290,One bedroom U Steet Corridor
12623775,Beautiful townhouse at great location w/parking!
12623839,Row home room in Washington
12637339,Private room in Historic Anacostia
12656977,Relaxing Rowhouse Room in NE DC
12758931,"Contemporary, Spacious 1-Bedroom"
12784285,Capitol Hill Studio on the Park!
12833258,"Clean, Sleek and Modern 1-Bedroom Basement Apt"
12850682,3 blocks to Capitol.  Entire Top Floors  Vet Owned
12851881,2BR and 2BH Apartment in Historic DC
12864169,Great View of Supreme Court Vet Owned 1 blk to Cap
12865283,Charming row house apartment near everything
12866552,Tiny House - Vet Owned - 3 blocks to Capitol Patio
12866878,Great Carriage House - 3 blks to Cap -  Fast WIFI
12886507,Garden Suite
12926545,"Private Room in Quiet, Eclectic Home in Quaint Mt. Pleasant"
12935921,Charming Private Room & Private Bath fresh Clean!!
12973607,Private Bedroom Suite w/ Free Parking & EV-Charger
13001509,"Cute, Quaint and Quiet(A Hipster's Reading Nook)"
13005087,3BD/2.5 BTR w/ metro & free street parking
13038149,Book Filled Urban Oasis
13078902,Veteran Owned 1 block to Capitol Great Spot
13096118,Newly renovated Gem of a Georgetown Home
13096614,Great Apartment in Cleveland Park
13112085,"Northeast Capitol Hill, Separate Entry"
13199320,PVT Bright + New Bedroom in Historic Eckington
13208131,"1BR Oasis near Takoma Metro, Minutes to Capital"
13210656,PVT Bed + PVT Bath Close to Metro in Historic DC!
13247788,"Free Parking, Minutes to GTownU/Medstar Hospital"
13316914,Great Location!  Studio Apt in Georgetown/Burlieth
13390535,Sparkling Clean 2BR | Full Kitchen | Laundry | Gym
13491888,Capitol Hill Row House Newly Renovated!
13492207,Newly Renovated Capitol Hill Basement Apartment
13501642,"Swank, sunny, sustainable Logan Circle apt"
13524358,"Private top floor at 2067 Park Road, Nw Dc"
13570789,The Loft
13578244,"Capitol, Union Station, Romantic, Walkable Apt"
13622959,Cozy Capitol Hill 1 BR English Basement
13635817,Serene Apartment in a D.C. Rowhouse
13641373,Big friendly studio on Capitol Hill
13727764,English Basement Apt in a Classic DC Neighborhood
13802779,"Modern, Comfortable Stay on Capitol Hill"
13809783,#2 Coolest Neighborhood in the World - Forbes Mag
13932102,Family-friendly home with XL yard near metro
14086586,"Spacious studio apt, Super location, Parking"
14101888,Ingraham Alley Inn - A Quiet & Cozy Micro House
14117917,Charming City Centered ~ Walk to Zoo!
14201057,Modern Basement Apartment in Upper Georgetown
14233774,Cozy 1BD apt steps away from metro with parking
14333797,Capitol Hill apartment: first floor living & bikes
14357248,Heart of D.C. Row House - Live Like a Local!
14374409,Chic & Modern 2-bdr apt in central downtown DC
14501592,Newly Renovated 2BR Apt in the heart of DC-Parking
14506047,Washington DC's Finest: 4 bdrms+house 1-7 Persons
14520972,Furnished Room- 2 blocks from DC Convention Center
14548071,"Spacious, Sun-filled 1 Bedroom / 1 Bathroom"
14555537,ConventionCenter/Logan Circle home. 96 walk score
14629317,"Private 1 BR apt w/ kitchen & parking, 2pm checkin"
14685847,Chic and Modern 2 Bedroom
14805243,New 2 BR Apartment within a Dupont Brownstone
14865465,Studio in the Heart of Adams Morgan (Apt. 4A)
14890121,Super Clean - 2 bd/2 bth- English Basement
14899604,DC Living!  Newly Renovated Apartment in Petworth
14913168,Charming studio apartment in Adams Morgan (Apt 4B)
14944917,Sunny English Basement
14981562,Private bedroom and bathroom
15014312,North Capitol Hill Luxury Townhome in Perfect Location
15058397,Beautiful English Bsmt on a Park
15063053,"10am✅IN/5pm✅OUT. Walkable,Sunny Garden Apt in Shaw"
15080581,Wonk On The Hill Apartment
15081446,"Beautiful 3 bd/2/5 br near Metro, Capitol Heights"
15092261,Uniquely Styled Eclectic House in the Heart of DC
15165917,Location location location
15194332,GEM in the heart of the City !
15205271,Medical/Biz Professionals: private bed/bath/entry
15206984,Private Room Twin over Twin beds
15209243,Private Room
15218873,Charming Capitol Hill Studio - Amazing Location!
15220694,"Cozy, Quiet Townhome, Minutes to National Museums"
15235217,The Green Room A Cozy Basement Studio 420 Friendly
15238910,Studio Apt with Mini Art Gallery
15313139,"Bright roomy basement suite, NW DC"
15328533,★Free Parking• Queen Bed •Cozy Getaway With Patio★
15343995,Sunny studio condo in heart of DC
15355000,"Modern PVT Room In Trendy Shaw, Bloomingdale"
15369535,Private Two Bedroom Apartment.
15373088,@ 14th & U – Townhome - 99 Walk Score - Metro
15397701,♥ Modern Comfort on DC's Hip Strip near Metro ♥
15408045,Apartment in Modern DC Rowhouse (Garage Parking)
15419112,Logan Circle Luxury w/ Parking Pass!
15522091,English Basement Apartment--Historic Neighborhood
15523073,Lovely 1 BR in Best Mount Pleasant Location
15552175,Stay in the Heart of Logan Circle
15558485,"A private, all-yours AirBnb basement apartment."
15620627,Charming Apartment w/ FREE Off-Street Parking
15665231,Cozy Capitol Hill Garden unit
15701093,Charming upscale private apt steps to Georgetown U
15720606,"Modern 1BR| HSt Corridor, 1 block from Whole Foods"
15734466,Sojourn | Capitol Hill 2 BR condo with parking
15755522,Renovated English Basement Private Patio@Takoma DC
15790449,Charming bdrm in 110+yr home w/wood fireplace
15820983,Comfortable bdrm in 110+ yr old home w/large desk
15844475,Large Private Room
15914701,"Private Small Room, In the city."
15937364,Charming 1 BR  in Capitol Hill near Metro
15938415,Short-term rental for young professionals
15958616,Delightful 1-BR Accommodations / Nearby METRO
15962871,Great Sleep in Comfy Blue Room/Metro 12 min walk!
15963788,Beautiful Cozy Yellow Room/Metro 12 min walk!
15972360,Convenient luxury basement apt
15981013,Short walk to H ST NE and a StreetCar
15985071,CapHill Eng Bsmt-2-blcks to Metro and EastnMkt
16018100,Carriage house fit for two
16019820,"Gorgeous Cape Cod, Heated Pool, Hot Tub, Parking"
16131739,Spacious Family Retreat in Tranquil Neighborhood
16162225,Spacious Apartment in Historical Rowhouse
16174851,1 BR/Den in grand 1920’s house in Rock Creek Park
16200955,Charming 2BD/1BA in Hip Area - Near Metro
16202179,Lock5
16284799,"Luxurious 1Bed Carriage House, 1.5 Blocks to Metro"
16284824,Historic Capitol Hill meets trendy H Street
16285366,Lock2
16285598,Lock3
16296814,Spacious Grand 2 Bedroom/2 bath near Trendy U St.
16312601,Best of the Best ~ Steps 2 Capitol!
16334415,Capitol Hill suite for four
16335709,Comfortable Historic Cap Hill Private Apt/Sleeps4
16348636,"Charming DC In-Law Suite, 1 BR, Kitchen, Parking"
16361327,Spacious 2BR Kitchen | Work Desk | Wi-Fi | Gym
16376614,Large one bedroom apartment in Mt. Pleasant
16379151,Luxurious Urban Oasis
16380562,Queen Bedroom in H ST / Capitol Hill Rowhome
16380887,"Central, Bright, Cozy House in Exciting Shaw"
16381317,2 Queen Bed Bedroom in H ST / Capitol Hill Rowhome
16395494,"White Glove in the heart of Washington, DC"
16405079,Historic DuPont Circle Inn ~ Lincoln Room
16415014,"A Minimalistic, Modern, Marvel - in DC Proper!"
16427522,Perfectly Petworth! Apt. Next to Metro w/ Parking
16448459,Beautiful Renovated 2 Bedroom Apt Takoma Pk
16451853,1 bedroom In law suite in single family home
16454685,"Historic Home Next to Capitol, Walk to Everything!"
16465485,A Tranquil Oasis in Heart of Historic Mt. Pleasant
16487475,Cozy Guest Suite w/ Private Entrance
16497765,B & breakfast in a rowhouse in Columbia Heights
16514018,Stunning Logan Circle Apt ~ Sleeps 4!
16518770,Classy & Elegant on Capitol Hill!
16521785,Modern Nats Park/Capitol Hill Home
16544141,"Central location for DC Visitors ""NILE ROOM"""
16589585,"Capitol Hill steps to Congress & Metro, Park Pass"
16602138,Eng Bsmnt 1br+lvrm sofabed SW DC
16605239,Cozy Private Apartment East of the Capitol
16612567,Wonderful W. Street Suite at the best location!
16629472,Renovated 1 BD/1 BA Cap Hill In-Law-Suite
16630937,Quiet 3 Story House...20 Min Drive to Everything
16634181,Upscale & Spacious in Capitol Hill!
16635517,English Basement -- Walk to Metro/Adams Morgan/Zoo
16651819,Blue + Cozy Townhome in DC (Private BR & Bath)
16677882,1 bed/bath-Eastern Market! Walk everywhere! Nats!
16678182,One Block to Library of Congress - Capitol Hill
16684913,Capitol Hill Charmer
16684937,Central DC luxury. World class shopping and dining
16710435,Mimi's Place - 1/2 Block to Metro!
16716427,English Basement in Woodley Park with Parking
16738134,*Luxurious Carriage House *Parking *Mins. to All
